26098
(449,6308.53,-356.269)
(450,288.44,513.609)
(451,2290.95,-1200.68)
(452,2318.97,1095.38)
(453,269.759,-197.705)
(454,6142.3,-1299.54)
(455,2998.7,1282.74)
(456,922.584,734.776)
(457,303.896,324.356)
(458,2535.58,227.838)
(459,478.027,158.23)
(460,5910.79,751.233)
(461,5103.62,736.222)
(462,1654.91,1028.44)
(463,3810.76,538.183)
(464,2939.33,896.231)
(465,-272.65,1592.2)
(466,1712.62,1283.52)
(467,770.358,176.466)
(468,-1589.98,-660.498)
(469,1662.03,655.161)
(470,2677.8,346.928)
(471,2613.97,-1072.59)
(472,625.027,710.536)
(473,2308.3,1128.85)
(474,325.023,-422.652)
(475,1902.99,885)
(476,5972.95,793.265)
(477,3198.52,284.77)
(478,-1486.45,259.084)
(479,1801.8,847.75)
(480,5882.1,783.257)
(481,1389.16,694.524)
(482,-1007.43,1057.13)
(483,6323.43,-570.875)
(484,704.976,260.752)
(485,-261.086,-1119.51)
(486,6143.41,-850.752)
(487,391.295,-764.465)
(488,5265.08,-184.139)
(489,5850.08,-239.514)
(490,-1481.34,-852.643)
(491,267.869,751.455)
(492,1924.12,-930.702)
(493,492.816,469.576)
(494,1283.97,1141.19)
(495,5044.58,9.22918)
(496,2418.16,774.806)
(497,5528.06,82.3954)
(498,1876.86,1301.54)
(499,4138.9,-2001.73)
(500,444.113,-358.159)
(501,2121.49,246.408)
(502,-943.378,-327.024)
(503,3846.9,-1315.66)
(504,-960.947,642.818)
(505,6011.2,-1621.56)
(506,-383.289,613.907)
(507,5284.76,-856.757)
(508,3071.54,-2103.25)
(509,3184.07,836.853)
(510,1688.94,597.006)
(511,-629.919,973.289)
(512,-21.4606,534.18)
(513,555.196,-1440.86)
(514,1114.51,660.831)
(515,5101.62,895.119)
(516,5879.43,-250.856)
(517,4533.64,-777.92)
(518,6023.54,-1895.32)
(519,-201.596,-2390.58)
(520,2270.04,-133.879)
(521,4976.31,-1493.57)
(522,2675.79,184.806)
(523,2190.21,-1416.73)
(524,2007.18,1516.03)
(525,1981.94,656.828)
(526,3023.61,-1771.11)
(527,3847.01,-1244.83)
(528,353.044,-420.428)
(529,-939.931,987.3)
(530,5903.45,-1133.08)
(531,3615.61,-351.598)
(532,2524.68,386.402)
(533,2752.63,635.59)
(534,-1508.36,373.059)
(535,2309.74,1144.97)
(536,33.2473,-1047.01)
(537,1683.27,611.127)
(538,-1396.05,-392.629)
(539,5152.66,193.146)
(540,-1644.57,1323)
(541,3937.3,-1597.98)
(542,-1192.68,-1545.83)
(543,5369.71,-212.716)
(544,1961.92,1358.02)
(545,-110.75,-1102.28)
(546,32.6913,-1742.65)
(547,4457.8,679.401)
(548,6404.83,-372.392)
(549,680.402,-1199.9)
(550,-850.419,-1477.56)
(551,-900.79,1600.87)
(552,1403.95,1067.47)
(553,328.247,-162.011)
(554,1236.49,-558.643)
(555,255.526,673.508)
(556,1976.27,706.421)
(557,179.802,-581.549)
(558,10.6747,614.13)
(559,1774.23,1403.72)
(560,5268.64,-16.1233)
(561,1872.19,1428.41)
(562,822.954,602.232)
(563,787.927,646.043)
(564,6665.14,757.571)
(565,5384.17,-171.463)
(566,3059.53,377.062)
(567,2963.23,-1646.35)
(568,789.929,645.82)
(569,3812.54,527.286)
(570,-696.747,-1429.63)
(571,3279.92,1065.14)
(572,6236.92,227.838)
(573,2568.05,359.048)
(574,2795.66,-2160.41)
(575,330.805,-1809.7)
(576,1455.43,1069.92)
(577,174.242,779.476)
(578,2009.18,598.451)
(579,-287.439,1502.02)
(580,1046.68,-1351.91)
(581,5184.02,-1597.54)
(582,-671.395,1665.59)
(583,1678.49,1406.06)
(584,2011.18,738.89)
(585,2292.95,1423.41)
(586,3432.7,-1191.01)
(587,1320.77,-729.883)
(588,1433.75,874.437)
(589,424.209,919.804)
(590,5082.83,-1441.53)
(591,634.367,166.904)
(592,1198.13,1111.28)
(593,2914.53,760.129)
(594,3115.79,373.949)
(595,6334,-874.882)
(596,-1167.1,-388.626)
(597,3208.53,408.753)
(598,1522.26,664.501)
(599,2609.52,1091.6)
(600,2477.09,331.917)
(601,4461.03,734.665)
(602,2432.17,1376.26)
(603,6325.77,79.5044)
(604,-549.97,1678.15)
(605,-560.311,-2155.96)
